iter	likelihood	#indels	#substs	rs07:mean_length	rs07:rate	P1/#indels	P1/#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/|indels|	tn93:kappaPur	tn93:kappaPyr	tn93:pi[A]	tn93:pi[C]	tn93:pi[G]	tn93:pi[U]	scale	scale*|T|	|A|	|T|	|indels|	posterior	prior
0	-16962.18610549764	22	1417	37.38904841975851	0.01632531326779878	22	1417	-16962.18610549764	-309.4538547527136	157	73	1.5206189450352174	3.1719431583067887	0.0835543398998562	0.4282236507613509	0.0025447425963400893	0.4856772667424529	0.008365772878720175	0.010827074074161764	157	1.2942108554850138	73	-17214.29083570305	-252.10473020541068
1	-4283.920598482431	149	290	30.933292615941873	0.029691683196902956	149	290	-4283.920598482431	-1436.4486499345546	1732	3692	1.463557546484998	0.010821379117091154	0.03187938160846427	0.163384752877622	0.6194302195882113	0.18530564592570248	1.3035722904729468	2.06608381363532	1732	1.5849399597821519	3692	-5912.415974243082	-1628.4953757606513
2	-3137.191742035677	89	666	15.027868195035545	0.06408378390468664	89	666	-3137.191742035677	-795.708350072334	555	992	1.4301908930597598	7.194570369259977	0.3281510286647039	0.10615234700818574	0.40244864015147946	0.16324798417563105	6.164521549870715	6.8647049237298825	555	1.1135827603480195	992	-3926.497312193473	-789.3055701577961
3	-3025.4321584628096	91	651	7.448545454496013	0.06146833135660661	91	651	-3025.4321584628096	-726.2230981287124	488	634	1.4991635718382823	4.097974627362235	0.3078227403120773	0.09957642515881264	0.37751776598231457	0.21508306854679551	6.931766052551131	6.881203866236101	488	0.9927057281028084	634	-3732.5204807718032	-707.0883223089937
4	-2961.2302098769787	92	683	7.174431859630707	0.05106317942633021	92	683	-2961.2302098769787	-728.7302955626949	403	526	1.428953677982079	2.6599372891511384	0.23592542016068807	0.19196352936692324	0.33798061790439465	0.23413043256799396	9.800334661677557	8.265408384701951	403	0.8433802181289116	526	-3659.410482217098	-698.1802723401194
5	-2954.432875636707	97	695	5.8411059749855685	0.06744203262626942	97	695	-2954.432875636707	-735.7138319017688	343	430	1.807235809405048	2.95251304266685	0.22339666905598032	0.19080065842835042	0.34606908757209376	0.2397335849435754	8.69224893523804	8.531527950545703	343	0.9815098502252071	430	-3664.8325014141305	-710.3996257774232
6	-2947.983780359942	73	740	5.865679914540793	0.03990777512059612	73	740	-2947.983780359942	-590.4642747304222	271	293	1.4919366484084011	2.4842601911357427	0.20756074578993833	0.2718371935903897	0.307551140613792	0.21305092000587994	6.869287993342737	8.548960125852828	271	1.2445191021453634	293	-3526.2799552346855	-578.2961748747433
7	-2911.5511758218063	77	723	3.5572238359682875	0.05216938446354484	77	723	-2911.5511758218063	-606.1820185336543	282	296	1.7409658480117192	2.5904054073172373	0.21673215184518288	0.2838487580788829	0.27695417181917653	0.22246491825675765	7.468872538078547	8.866992726632935	282	1.1871929372775278	296	-3501.291136100908	-589.7399602791015
8	-2927.2741968521905	79	720	3.2653346444497315	0.030427367393224714	79	720	-2927.2741968521905	-597.5693249329806	253	241	1.7886880323071381	2.8818982318529316	0.2048126466387315	0.28791753336821874	0.28201595885832853	0.2252538611347212	6.957610290258424	8.973948916668881	253	1.2898033293462265	241	-3513.440230924908	-586.1660340727175
9	-2909.189219123809	65	727	3.131732726110309	0.04213513408331799	65	727	-2909.189219123809	-520.583061576827	232	197	1.7794855833111367	2.76121748527439	0.19751727578421469	0.2905590054345943	0.2846032874898353	0.22732043129135582	8.149376639625999	8.316350142892928	232	1.0204891135421361	197	-3411.6179894660763	-502.42877034226717
10	-2879.2173985236973	69	719	3.1565171667433463	0.036930065158530714	69	719	-2879.2173985236973	-518.7882131731832	222	190	1.4619658652679186	2.128416176345111	0.1984675190008962	0.27977567317433516	0.27404098601590704	0.24771582180886162	5.235054568814341	7.477989578192149	222	1.4284453924776945	190	-3394.1529377560823	-514.9355392323852
11	-2857.3114021540896	77	716	2.6244273410144787	0.04183529097077069	77	716	-2857.3114021540896	-550.6426053322657	207	172	1.6327826144315287	2.273039034815415	0.19607469594084662	0.2632940543875162	0.29590201294101554	0.24472923673062166	6.907745450651989	7.770586931482061	207	1.1249092756810593	172	-3391.5812335517585	-534.2698313976689
12	-2846.8523328185015	76	701	2.315940194342127	0.03960037872222067	76	701	-2846.8523328185015	-562.8860714508346	214	195	1.683983357925425	2.3841576926489947	0.22008157612606097	0.29553109949336376	0.24712171480005637	0.23726560958051895	7.654068134109564	8.095237136846814	214	1.0576384995544037	195	-3388.2496716970745	-541.3973388785731
13	-2842.7387151418297	70	707	2.663300940822958	0.03542980603017708	70	707	-2842.7387151418297	-523.9115966785785	206	179	1.7143642682426716	2.449529276850532	0.22095038881565832	0.295201884076019	0.24684642641716767	0.237001300691155	8.635346895087926	7.7890759447853775	206	0.9019991946375732	179	-3340.6925816155695	-497.9538664737396
14	-2882.244658040901	56	724	2.428835106571827	0.03240140191402582	56	724	-2882.244658040901	-441.4698171927326	190	144	1.558239716504452	2.421392026114568	0.22652649706483924	0.28840908999040127	0.2535166717342886	0.2315477412104709	5.928984704787919	8.08441681869091	190	1.3635415203824668	144	-3317.9846329205047	-435.7399748796038
15	-2830.576504732313	60	715	3.0562558008916554	0.0295656047460847	60	715	-2830.576504732313	-471.23538175708904	189	152	1.5764333661393797	2.154219758317844	0.22652649706483924	0.28840908999040127	0.2535166717342886	0.2315477412104709	6.47830937310217	8.22170917711134	189	1.2691133911028911	152	-3292.6566621926677	-462.0801574603547
16	-2826.6049191152642	60	716	2.578817712502876	0.02959281971779042	60	716	-2826.6049191152642	-451.90269385856493	175	144	1.5347946373954509	2.4443264892369387	0.24419828620211279	0.232896447201903	0.27329401886021615	0.249611247735768	5.633481473816833	7.611712440881255	175	1.3511560260309365	144	-3263.4465934414848	-436.8416743262205
